Num Iterations,Clustering consistency,DN Cluster Assignment
75,[1707 1288 1261 263 1077],[5 5 1 5 5 2 1 2 2 1 1 5]
100,[1705 1285 1079 448 1079],[5 5 1 5 5 2 1 2 2 1 1 5]
150,[1710 1290 1263 252 1081],[5 5 1 5 5 2 1 2 2 1 1 5]
200,[1705 1293 1262 259 1077],[5 5 1 5 5 2 1 2 2 1 1 5]
250,[1708 1286 1259 268 1075],[5 5 1 5 5 2 1 2 2 1 1 5]
300,[1708 1287 1260 265 1076],[5 5 1 5 5 2 1 2 2 1 1 5]
350,[1705 1286 1083 444 1078],[5 5 1 5 5 2 1 2 2 1 1 5]
400,[1707 1282 1056 473 1078],[5 5 1 5 5 2 1 2 2 1 1 5]
450,[1710 1288 1063 459 1076],[5 5 1 5 5 2 1 2 2 1 1 5]
500,[1708 1284 1260  264 1080],[5 5 1 5 5 2 1 2 2 1 1 5]
